Pays,Region,Province,Ville,Nom,Type_fichier,Categorie,Contact_public,Telephone,Site,Source_URL,Styles_Nyllo,Segment_booking,Priorite,Statut,Action_recommandee,Notes,Fichier_source
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Café Béguin,bar spectacle / lieu public,Café concert / jam,à vérifier,,https://diasmecom.com/,https://diasmecom.com/events/categorie/festival/page/2/?eventDisplay=past,world-music,world music,A,à vérifier,Contacter en premier avec message personnalise Nyllo.,Édition spéciale Afro Jam coordonnée par Diese Mbangue,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Toots Jazz Club,bar spectacle / lieu public,Club jazz / live,à vérifier,,à vérifier,https://www.visit.brussels/en/visitors/agenda/theatre-music-cabaret--heart-warming-venues-in-brussels,world-music | house-music,afro/world/house,B,à vérifier,Completer/contact selon calendrier.,"Nouveau club jazz installé en 2025, concerts et jam sessions cinq soirs par semaine",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Art Base,bar spectacle / lieu public,Lieu concert / jazz / world / classique,contact via site / +32 2 217 29 20,,https://www.art-base.be/,https://www.bandsintown.com/v/10017581-art-base,world-music,world music,B,à contacter,Completer/contact selon calendrier.,"Téléphone confirmé +32 2 217 29 20 ; pas d’email direct fiable trouvé, contacter via site ou téléphone.",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Atelier Marcel Hastir,bar spectacle / lieu public,Lieu culturel / musique traditionnelle,admin@ateliermarcelhastir.eu,,https://ateliermarcelhastir.eu/contact/,https://ateliermarcelhastir.eu/contact/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Email administratif confirmé ; email réservation/concerts ateliermarcelhastir@gmail.com aussi listé par Visit Brussels/Facebook.,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Motown Concerts,bar spectacle / lieu public,Programmation concerts,à vérifier,,à vérifier,https://www.visit.brussels/en/visitors/what-to-do/brussels-concert-life/classical-modern-en-jazz-music,a qualifier,a qualifier,B,à vérifier,Completer/contact selon calendrier.,À vérifier pour format A SELVA,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Chapelle-lez-Herlaimont,Centre Culturel d'Herlaimont Chapelle,bar spectacle / lieu public,Centre culturel / spectacle public,secretariat.cch@7160.be,,https://www.centreculturelchapelle.com/,https://linktr.ee/centrecultureldechapelle,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Téléphone : 064 43 13 35 ; contact trouvé via Facebook / site officiel,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Wallonie,Liege,Pepinster,Events Pepinster,bar spectacle / lieu public,Événements publics / organisation locale,chris.epn@pepinster.be,,http://www.eventspepinster.be/,http://www.eventspepinster.be/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,"Téléphone : 0496 90 29 72 ; adresse : Rue la Nô 51, 4860 Pepinster",Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,House of Lagos,bar spectacle / lieu public,Événements afro-house / afrobeat / club,houseoflagosofficial@gmail.com,,à compléter,à compléter,world-music | afro-house | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Email fourni ; site et liens sociaux à compléter,Bars spectacles publics Belgique - Facebook et lieux 2024-2026 - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Botanique,salle culturelle / espace culturel,Centre culturel / concerts,info@botanique.be,+32 2 218 37 32,https://botanique.be/,https://botanique.be/fr/contact,world-music | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Salle concert et centre culturel ; bon pour world/electro/live,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Ancienne Belgique,salle culturelle / espace culturel,Salle de concerts,info@abconcerts.be,02 548 24 84,https://www.abconcerts.be/,https://www.abconcerts.be/en/contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Grande salle musiques actuelles ; demander relais programmation,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Bozar,salle culturelle / espace culturel,Centre for Fine Arts / musique / arts vivants,info@bozar.be,+32 2 507 84 30,https://www.bozar.be/,https://www.bozar.be/fr/node/5153,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact général ; demander transfert vers Music Strategy & Programming,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Etterbeek,Le Senghor,salle culturelle / espace culturel,Centre culturel / programmation,reservation@senghor.be,02 230 31 40,https://www.senghor.be/,https://www.senghor.be/infos-pratiques/acces-contact/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Centre culturel ; email billetterie/contact, demander programmation",Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Etterbeek,Le Senghor - programmation théâtre,salle culturelle / espace culturel,Programmation théâtre,e.poznanski@senghor.be,02 230 31 40,https://www.senghor.be/,https://www.senghor.be/le-senghor/equipe/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Contact nominatif programmatrice théâtre ; utiliser si le contact général ne répond pas,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Centre Culturel Bruegel,salle culturelle / espace culturel,Centre culturel,info@ccbruegel.be,02 503 42 68,https://ccbruegel.be/,https://ccbruegel.be/infos-pratiques/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Centre culturel Bruxelles ; bon contact général,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Centre Culturel Bruegel - direction,salle culturelle / espace culturel,Direction centre culturel,martin.smets@ccbruegel.be,02 503 42 68,https://ccbruegel.be/,https://ccbruegel.be/infos-pratiques/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Contact direction ; utiliser en relance ciblée,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Atelier 210,salle culturelle / espace culturel,Salle / théâtre / musique,eve@atelier210.be,+32 2 732 25 98,https://atelier210.be/,https://atelier210.be/infos/contact/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Téléphone confirmé via Visit Brussels/Facebook ; emails musique et production déjà exploitables.,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Atelier 210 - concerts,salle culturelle / espace culturel,Production concerts,sarah@atelier210.be,+32 2 732 25 98,https://atelier210.be/,https://atelier210.be/infos/contact/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Téléphone confirmé via Visit Brussels/Facebook ; contact production concerts déjà exploitable.,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Charleroi,Eden Charleroi,salle culturelle / espace culturel,Centre culturel / musiques actuelles,info@eden-charleroi.be,071 202 995,https://www.eden-charleroi.be/,https://www.eden-charleroi.be/eden/equipe/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Centre culturel avec programmation musiques actuelles,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Charleroi,Eden Charleroi - programmation musiques,salle culturelle / espace culturel,Programmation musiques actuelles,info@eden-charleroi.be,071 202 980,https://www.eden-charleroi.be/,https://www.eden-charleroi.be/eden/equipe/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,La page cite Nathalie De Lattre comme programmatrice musiques actuelles mais l'email nominatif n'est pas visible,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,Le Delta,salle culturelle / espace culturel,Espace culturel provincial,info@ledelta.be,081 77 67 73,https://www.ledelta.be/,https://www.ledelta.be/infos-pratiques/contacts/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Espace culturel majeur à Namur ; concerts, expos, location salles",Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Mons,Mars - Mons arts de la scène,salle culturelle / espace culturel,Arts de la scène / lieux culturels,public@surmars.be,+32 65 39 59 39,https://surmars.be/,https://surmars.be/infos-pratiques/contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Mars gère plusieurs lieux : Théâtre le Manège, Maison Folie, Arsonic, Théâtre Royal",Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Mons,La P'tite Maison Folie,salle culturelle / espace culturel,Espace culturel / tiers-lieu,info@maisonfolie.be,+32 65 39 59 12,https://maisonfolie.surmars.be/,https://maisonfolie.surmars.be/,house-music,club/house/electro,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Espace ouvert et salles réservables ; bon format after/workshop/live,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers / Borgerhout,De Roma,salle culturelle / espace culturel,Salle de concerts / culture,info@deroma.be,+32 3 600 16 70,https://www.deroma.be/,https://www.deroma.be/en/your-visit/contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Grande salle ; contact général,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers / Borgerhout,De Roma - accueil,salle culturelle / espace culturel,Balie / contact salle,balie@deroma.be,+32 3 600 16 70,https://www.deroma.be/,https://www.deroma.be/en/your-visit/contact,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Contact accueil ; demander relais programmation,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,VIERNULVIER / Vooruit,salle culturelle / espace culturel,Kunstencentrum / arts vivants,info@viernulvier.gent,09 267 28 20,https://www.viernulvier.gent/,https://www.viernulvier.gent/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Centre artistique majeur à Gand ; demander relais programmation,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Flandre,Brabant flamand,Leuven,Het Depot,salle culturelle / espace culturel,Salle de concerts / musique,info@hetdepot.be,+32 16 22 06 03,https://www.hetdepot.be/,https://www.hetdepot.be/general-conditions,a qualifier,a qualifier,A,verifie email,Contacter en premier avec message personnalise Nyllo.,Email et téléphone confirmés par page contact Het Depot / Leuven Convention Bureau.,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Flandre,Limbourg belge,Genk,C-mine,salle culturelle / espace culturel,Centre culturel / arts / musique,c-mine@genk.be,+32 89 65 44 90,https://c-mine.be/,https://c-mine.be/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Centre culturel de Genk ; bon relais Limbourg,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Flandre,a verifier,Ostende,De Grote Post,salle culturelle / espace culturel,Cultuurcentrum / espace culturel,benieuwd@degrotepost.be,059 56 85 00,https://www.degrotepost.be/,https://www.degrotepost.be/contact-de-grote-post-oostende-jg6y,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Centre culturel et eventlocatie ; bon relais côte belge,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Flandre,Flandre occidentale,Bruges,Cactus Muziekcentrum,salle culturelle / espace culturel,Salle / musique actuelle,info@cactusmusic.be,+32 50 33 20 14,https://cactusmusic.be/,https://www.cactusmusic.be/EN/Info/contact,world-music | house-music,afro/world/house,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Musiques actuelles ; très compatible live/world/electro,Salles espaces culturels Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Service de la Culture,commune / programmation culture,Programmation / culture,culture@brucity.be,02 279 64 20,https://www.bruxelles.be/culture,https://www.bruxelles.be/departement-culture-jeunesse-sports,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Service culture officiel ; utile pour programmation culturelle,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Cellule Évènements,commune / programmation culture,Événements publics,events@brucity.be,02 279 50 41,https://www.bruxelles.be/organisation-evenement,https://www.bruxelles.be/directory-2077,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Concerts et événements dans l’espace public ; Open Air 2026,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Bruxelles,Visit Brussels Agenda,commune / programmation culture,Promotion agenda culturel,partner.services@visit.brussels,+32 2 513 89 40,https://www.visit.brussels/,https://www.visit.brussels/fr/professionnels/partners/faq-partenaires/partenaires-culturels,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Pour encoder / promouvoir une date culturelle à Bruxelles,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Ixelles,Service Culture,commune / programmation culture,Programmation / salles / soutien,culture@ixelles.brussels,02 515 64 63,https://culture.ixelles.be/fr/soutien/,https://culture.ixelles.be/fr/soutien/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Le service propose une programmation culturelle dans ses salles et l’espace public,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Ixelles,Cellule événements,commune / programmation culture,Événements publics,events@ixelles.brussels,à compléter,https://culture.ixelles.be/,https://lesamisdmamere.be/rouverture-des-lieux-culturels-et-organisation-devenements-a-ixelles/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Pour événements sur voie publique / autorisation ; source secondaire à confirmer | Contact recoupé depuis autre fichier booking le 13/08/2026.,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Saint-Gilles,Service Culture,commune / programmation culture,Programmation / Fête de la Musique,culture@stgilles.brussels,+32 2 534 56 05,https://stgilles.brussels/services/culture/,https://stgilles.brussels/services/culture/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Service Culture ; Fête de la Musique et événements publics,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Saint-Gilles,Service Culture - Maison des Cultures,commune / programmation culture,Programmation culturelle,jroussel@stgilles.brussels,02 534 56 05,https://www.saintgillesculture.brussels/,https://mdc1060.brussels/organisateur/service-de-la-culture-de-la-commune-de-saint-gilles/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact direct organisateur Culture Saint-Gilles,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Schaerbeek,Culture Française,commune / programmation culture,Programmation / culture locale,culture@1030.be,02 240 34 99,https://www.1030.be/,https://www.1030.be/fr/annuaire-des-services-communaux/culture-francaise,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Programmation pour citoyens, artistes et acteurs culturels locaux",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Forest,Service événements / promotion,commune / programmation culture,Événements publics,infoforest@forest.brussels,02 370 22 11,https://forest.brussels/,https://forest.irisnet.be/fr/demarches/culture-evenements/demander-lautorisation-pour-un-evenement,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Pour promotion d’événement via réseaux sociaux / agenda ; formulaire pour autorisation,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Molenbeek,Service Culture francophone,commune / programmation culture,Programmation / culture locale,culture.1080@molenbeek.irisnet.be,02 415 86 03,https://www.molenbeek.irisnet.be/,https://www.molenbeek.irisnet.be/fr/je-visite/culture/service-de-la-culture-francophone,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Organisation de manifestations culturelles, concerts, expositions",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Molenbeek,Service Événements,commune / programmation culture,Événements publics,festivites.1080@molenbeek.irisnet.be,02 563 00 72 / 02 563 00 71,https://www.molenbeek.irisnet.be/,https://www.molenbeek.irisnet.be/nl/ik-bezoek/evenementen/dienst-evenementen,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Soutient les associations dans leurs projets d’événements,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Anderlecht,Service Événements,commune / programmation culture,Événements publics,eventanderlecht@anderlecht.brussels,02 436 65 30 / +32 499 96 62 07 / +32 498 58 88 95,https://www.anderlecht.be/,https://anderlecht.be/index.php/fr/node/271,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Service événements, demandes d’événements publics",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Bruxelles-Capitale,Bruxelles-Capitale,Anderlecht,Service Culture,commune / programmation culture,Programmation / culture locale,cultuur@anderlecht.brussels,02 558 08 92,https://www.anderlecht.be/,https://www.anderlecht.be/nl/diensten-vrije-tijd,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Contact culture néerlandophone / commune,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Mons,Service événements,commune / programmation culture,Événements publics,evenements@ville.mons.be,+32 65 40 52 70,https://www.mons.be/,https://www.mons.be/fr/ma-commune/administration/tous-les-services-communaux/evenements/service-evenements,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Gestion festivités et événements portés par la Ville + support aux tiers,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Mons,Mons Culture.be,commune / programmation culture,ASBL culturelle locale,monsculture.be@gmail.com,0468 42 51 35,https://www.monsculture.be/,https://www.monsculture.be/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,"ASBL locale : concerts, Fête de la Musique, spectacles",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,Service Culture,commune / programmation culture,Programmation / culture / événements,culture@ville.namur.be,+32 81 24 71 18 / +32 81 24 71 60,https://www.namur.be/,https://www.namur.be/fr/loisirs/culture/service-de-la-culture,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Fête de la Musique, Namusiq’, Ciné-concerts, projets publics",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,Citadelle de Namur - événements culturels,commune / programmation culture,Programmation événementielle,delphine.soeur@citadelle.namur.be,+32 81 24 73 75,https://citadelle.namur.be/,https://citadelle.namur.be/fr/contactez-nous,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Chargée événementielle ; site événementiel fort à Namur,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Namur,Namur,Citadelle de Namur - événements culturels,commune / programmation culture,Programmation événementielle,melanie.celeghin@citadelle.namur.be,+32 81 24 73 74,https://citadelle.namur.be/,https://citadelle.namur.be/fr/contactez-nous,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Chargée événementielle ; deuxième contact,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Liege,Liège,Fête de la Musique Liège,commune / programmation culture,Programmation musique / ville / collectif,info@fetedelamusiqueliege.be,04 221 42 10,https://www.fetedelamusiqueliege.be/,https://www.fetedelamusiqueliege.be/,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Organisation Ville de Liège + PAC Liège ; nombreux programmateurs publics,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Liege,Liège,Échevinat Culture Ville de Liège,commune / programmation culture,Culture / Fête de la Musique,echevinat.clotuche@liege.be,04 258 61 13,https://www.liege.be/,https://www.liege.be/fr/vie-communale/vie-politique/college-communal/communiques-du-college-communal/communiques-du-college-communal-2025/communique-du-college-communal-du-06-06-2025,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact téléphone culture Ville de Liège mentionné pour Fête de la Musique | Email échevinat repéré sur communication publique Ville de Liège ; téléphone 04 258 61 13 conservé.,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Liege,Liège,Liège Culture Pro,commune / programmation culture,Agenda / plateforme culturelle,contact@liegeculture.be,à compléter,https://pro.liegeculture.be/,https://pro.liegeculture.be/,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Plateforme pour opérateurs culturels et événements liégeois | Contact recoupé depuis autre fichier booking le 13/08/2026.,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Charleroi,Ville de Charleroi - culture,commune / programmation culture,Culture / cabinet échevine,julie.patte@charleroi.be,071 86 10 32 / 071 86 10 41,https://www.charleroi.be/thematique/culture,https://www.charleroi.be/vie-communale/college-communal,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"1ère échevine : Culture, enseignement et formation",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Charleroi,Ville de Charleroi - conseiller culture,commune / programmation culture,Culture / cabinet,pascal.verhulst@charleroi.be,à compléter,https://www.charleroi.be/,https://www.charleroi.be/vie-communale/college-communal,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Conseiller culture au cabinet de Julie Patte | Contact recoupé depuis autre fichier booking le 13/08/2026.,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Charleroi,Eden / Centre culturel régional de Charleroi,commune / programmation culture,Centre culturel régional,info@eden-charleroi.be,071 20 29 95,https://www.eden-charleroi.be/,https://www.charleroi.be/annuaire/centres-culturels,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Centre culturel régional ; fort potentiel pour date,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Wallonie,Hainaut,Charleroi,CEME Charleroi,commune / programmation culture,Équipement / événements,info@ceme.be,071 23 98 50,https://www.ceme.be/,https://www.charleroi.be/annuaire/centres-culturels,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Espace meeting / événements,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Limbourg belge,Genk,Stad Genk - Dienst Cultuur,commune / programmation culture,Service culture,cultuur@genk.be,089 65 38 12 / 089 65 38 13,https://www.genk.be/cultuur,https://www.genk.be/cultuur,bresil | world-music,bresil/percussions/world,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Ville très intéressante : Afro-Latino Festival / réseaux culturels,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Limbourg belge,Genk,Stad Genk - échevin culture,commune / programmation culture,Culture / politique culturelle,harun.solak@genk.be,089 65 36 14,https://www.genk.be/,https://www.genk.be/cbs,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,"Échevin culture, vivre ensemble, politique mondiale",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,Stad Antwerpen - Regie Kunst en Cultuur,commune / programmation culture,Politique artistique / scènes,kunstenbeleid@antwerpen.be,à compléter,https://www.antwerpen.be/info/kunstenbeleid,https://www.antwerpen.be/contact/regie-kunst-cultuur,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Questions sur politique artistique et soutien culture | Contact recoupé depuis autre fichier booking le 13/08/2026.,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,Stad Antwerpen - Podia & culturele ontmoeting,commune / programmation culture,Coordination scènes / rencontre culturelle,angela.schellekens@antwerpen.be,à compléter,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Netwerkcoördinator podia & culturele ontmoeting | Contact recoupé depuis autre fichier booking le 13/08/2026.,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,Stad Antwerpen - Kunstenbeleid,commune / programmation culture,Coordination politique artistique,karen.vandenberghe@antwerpen.be,à compléter,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,https://magazine.antwerpen.be/cultuur-stad-antwerpen/contact,a qualifier,a qualifier,B,à contacter,Completer/contact selon calendrier.,Coördinator kunstenbeleid | Contact recoupé depuis autre fichier booking le 13/08/2026.,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Anvers,Anvers,District Borgerhout - équipe culture,commune / programmation culture,Culture locale / Borgerrio,cultuurantenne.borgerhout@antwerpen.be,0491 966 772 / 03 338 18 14,https://www.antwerpen.be/,https://www.antwerpen.be/info/63fc7655102c771937526132/contacteer-team-cultuur,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,"Très pertinent : district divers, Borgerrio, événements locaux",Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,Cultuur Gent,commune / programmation culture,Service culture / programmation,cultuur@stad.gent,09 323 61 80,https://cultuur.stad.gent/nl/contact,https://cultuur.stad.gent/nl/contact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Service culture officiel de la Ville de Gand,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Flandre orientale,Gand,Artiest zkt...,commune / programmation culture,Dispositif artistes / organisateurs,artiestzkt@stad.gent,09 323 61 80,https://stad.gent/nl/cultuur-vrije-tijd/zelf-een-evenement-organiseren/artiest-zkt-boek-een-artiestact,https://stad.gent/nl/cultuur-vrije-tijd/zelf-een-evenement-organiseren/artiest-zkt-boek-een-artiestact,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Dispositif artistes et organisateurs locaux,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,a verifier,Louvain,Stad Leuven - Dienst cultuur,commune / programmation culture,Service culture / programmation,directie.cultuur@leuven.be,016 27 22 87,https://www.leuven.be/contact/dienst-cultuur,https://www.leuven.be/contact/dienst-cultuur,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Service culture officiel,Services programmation villes Belgique - Nyllo Canella.csv
Belgique,Flandre,Flandre occidentale,Bruges,Projectsubsidie culturele activiteit,commune / programmation culture,Projets culturels / événements,cultuurcoach@brugge.be,050 44 8000,https://www.brugge.be/vrije-tijd/organiseren-van-evenementen/evenementsubsidies/projectsubsidie-culturele-activiteit,https://www.brugge.be/vrije-tijd/organiseren-van-evenementen/evenementsubsidies/projectsubsidie-culturele-activiteit,a qualifier,a qualifier,A,à contacter,Contacter en premier avec message personnalise Nyllo.,Contact direct pour projets culturels,Services programmation villes Belgique - Nyllo Canella.csv
